# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   1.000000
0.244898   0.999993
0.326531   0.999884
0.408163   0.999190
0.489796   0.997009
0.571429   0.992333
0.653061   0.984205
0.734694   0.971601
0.816327   0.954215
0.897959   0.931324
0.979592   0.902775
1.061224   0.866571
1.142857   0.823201
1.224490   0.773824
1.306122   0.715093
1.387755   0.646812
1.469388   0.571856
1.551020   0.495690
1.632653   0.412344
1.714286   0.345115
1.795918   0.289191
1.877551   0.243093
1.959184   0.207462
2.040816   0.179251
2.122449   0.159480
2.204082   0.141195
2.285714   0.127682
2.367347   0.115604
2.448980   0.105621
2.530612   0.099780
2.612245   0.090282
2.693878   0.084989
2.775510   0.080084
2.857143   0.074195
2.938776   0.070178
3.020408   0.065613
3.102041   0.063955
3.183673   0.057669
3.265306   0.055324
3.346939   0.054434
3.428571   0.053166
3.510204   0.050577
3.591837   0.047825
3.673469   0.046969
3.755102   0.045332
3.836735   0.044681
3.918367   0.042242
4.000000   0.041102
