# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   1.000000
0.244898   1.000000
0.326531   1.000000
0.408163   1.000000
0.489796   0.999988
0.571429   0.999934
0.653061   0.999803
0.734694   0.999415
0.816327   0.998740
0.897959   0.997459
0.979592   0.995619
1.061224   0.992951
1.142857   0.989209
1.224490   0.984618
1.306122   0.979364
1.387755   0.972718
1.469388   0.964988
1.551020   0.956521
1.632653   0.946991
1.714286   0.936558
1.795918   0.926148
1.877551   0.914582
1.959184   0.901527
2.040816   0.888727
2.122449   0.874655
2.204082   0.861059
2.285714   0.846420
2.367347   0.832956
2.448980   0.817662
2.530612   0.802944
2.612245   0.788912
2.693878   0.773722
2.775510   0.759195
2.857143   0.744265
2.938776   0.730081
3.020408   0.715722
3.102041   0.702401
3.183673   0.687792
3.265306   0.674091
3.346939   0.661249
3.428571   0.648152
3.510204   0.637132
3.591837   0.622874
3.673469   0.611463
3.755102   0.599363
3.836735   0.587666
3.918367   0.577278
4.000000   0.567555
