# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   1.000000
0.244898   1.000000
0.326531   1.000000
0.408163   1.000000
0.489796   0.999999
0.571429   -0.999984
0.653061   0.999965
0.734694   0.999894
0.816327   0.999708
0.897959   -0.999003
0.979592   0.998736
1.061224   0.997700
1.142857   0.996279
1.224490   0.994332
1.306122   0.991536
1.387755   0.987990
1.469388   0.984153
1.551020   0.979084
1.632653   0.972940
1.714286   -0.955230
1.795918   0.958153
1.877551   0.949325
1.959184   -0.920332
2.040816   0.927252
2.122449   0.913960
2.204082   0.899827
2.285714   0.884728
2.367347   0.868237
2.448980   0.849539
2.530612   0.828489
2.612245   0.808109
2.693878   0.783816
2.775510   0.755788
2.857143   0.729432
2.938776   0.700524
3.020408   0.666269
3.102041   0.627492
3.183673   0.590653
3.265306   0.551667
3.346939   0.507822
3.428571   0.461863
3.510204   0.407225
3.591837   0.359544
3.673469   0.313102
3.755102   0.270973
3.836735   0.230141
3.918367   0.204448
4.000000   0.180893
