# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   0.999931
0.244898   0.998095
0.326531   0.988424
0.408163   0.965467
0.489796   0.924263
0.571429   0.863392
0.653061   0.781797
0.734694   0.681225
0.816327   0.568580
0.897959   0.452934
0.979592   0.359288
1.061224   0.293242
1.142857   0.240668
1.224490   0.202822
1.306122   0.176709
1.387755   0.154915
1.469388   0.137216
1.551020   0.123389
1.632653   0.112421
1.714286   0.102848
1.795918   0.096971
1.877551   0.089193
1.959184   0.081584
2.040816   0.077697
2.122449   0.073642
2.204082   0.067908
2.285714   0.064432
2.367347   0.062147
2.448980   0.058878
2.530612   0.056547
2.612245   0.053832
2.693878   0.051855
2.775510   0.049494
2.857143   0.047483
2.938776   0.045531
3.020408   0.043784
3.102041   0.042838
3.183673   0.041409
3.265306   0.041110
3.346939   0.037811
3.428571   0.036875
3.510204   0.036651
3.591837   0.036436
3.673469   0.035792
3.755102   0.033543
3.836735   0.033212
3.918367   0.031923
4.000000   0.030736
