# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   1.000000
0.244898   1.000000
0.326531   1.000000
0.408163   0.999991
0.489796   0.999945
0.571429   0.999670
0.653061   0.999088
0.734694   0.997792
0.816327   0.995620
0.897959   0.992176
0.979592   0.987555
1.061224   0.981523
1.142857   0.973893
1.224490   0.964738
1.306122   0.954502
1.387755   0.942836
1.469388   0.929488
1.551020   0.914863
1.632653   0.899341
1.714286   0.883040
1.795918   0.865960
1.877551   0.848001
1.959184   0.830341
2.040816   0.811953
2.122449   0.794144
2.204082   0.774220
2.285714   0.756416
2.367347   0.738162
2.448980   0.718756
2.530612   0.701174
2.612245   0.683230
2.693878   0.666298
2.775510   0.648841
2.857143   0.632908
2.938776   0.616221
3.020408   0.601719
3.102041   0.586896
3.183673   0.572002
3.265306   0.558896
3.346939   0.545356
3.428571   0.532739
3.510204   0.519511
3.591837   0.506488
3.673469   0.496737
3.755102   0.483147
3.836735   0.472600
3.918367   0.461677
4.000000   0.452602
