# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   0.998700
0.244898   0.984303
0.326531   0.941416
0.408163   0.861985
0.489796   0.745942
0.571429   0.608899
0.653061   0.477458
0.734694   0.366740
0.816327   0.295372
0.897959   0.240738
0.979592   0.202207
1.061224   0.176567
1.142857   0.154411
1.224490   0.138425
1.306122   0.124564
1.387755   0.111853
1.469388   0.101357
1.551020   0.094725
1.632653   0.088536
1.714286   0.081853
1.795918   0.078007
1.877551   0.073800
1.959184   0.069440
2.040816   0.065735
2.122449   0.061583
2.204082   0.058489
2.285714   0.056090
2.367347   0.053310
2.448980   0.051187
2.530612   0.049861
2.612245   0.046964
2.693878   0.045264
2.775510   0.045574
2.857143   0.042730
2.938776   0.040510
3.020408   0.037783
3.102041   0.039221
3.183673   0.037060
3.265306   0.037632
3.346939   0.034873
3.428571   0.034558
3.510204   0.033876
3.591837   0.031797
3.673469   0.032317
3.755102   0.030140
3.836735   0.030084
3.918367   0.028676
4.000000   0.029020
