# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   0.947398
0.163265   0.675021
0.244898   0.465168
0.326531   0.344688
0.408163   0.272199
0.489796   0.223890
0.571429   0.190469
0.653061   0.164668
0.734694   0.145832
0.816327   0.130051
0.897959   0.116924
0.979592   0.107838
1.061224   0.098444
1.142857   0.091827
1.224490   0.084994
1.306122   0.079669
1.387755   0.074953
1.469388   0.071292
1.551020   0.066648
1.632653   0.062768
1.714286   0.059883
1.795918   0.056646
1.877551   0.055272
1.959184   0.052088
2.040816   0.050677
2.122449   0.048257
2.204082   0.046268
2.285714   0.045020
2.367347   0.043523
2.448980   0.042245
2.530612   0.039636
2.612245   0.039352
2.693878   0.037056
2.775510   0.036843
2.857143   0.035228
2.938776   0.035674
3.020408   0.033650
3.102041   0.032231
3.183673   0.031618
3.265306   0.033050
3.346939   0.030590
3.428571   0.030222
3.510204   0.028994
3.591837   0.028249
3.673469   0.026583
3.755102   0.026334
3.836735   0.026184
3.918367   0.025969
4.000000   0.026345
