# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   1.000000
0.244898   0.999986
0.326531   0.999795
0.408163   0.998737
0.489796   0.995431
0.571429   0.989160
0.653061   0.978576
0.734694   0.963240
0.816327   0.943904
0.897959   0.918465
0.979592   0.888782
1.061224   0.856072
1.142857   0.819312
1.224490   0.780469
1.306122   0.738107
1.387755   0.697632
1.469388   0.657803
1.551020   0.617013
1.632653   0.578571
1.714286   0.542012
1.795918   0.509496
1.877551   0.478344
1.959184   0.450645
2.040816   0.423403
2.122449   0.400776
2.204082   0.378836
2.285714   0.359886
2.367347   0.342142
2.448980   0.324480
2.530612   0.309308
2.612245   0.294597
2.693878   0.284218
2.775510   0.272327
2.857143   0.260788
2.938776   0.250402
3.020408   0.240258
3.102041   0.231663
3.183673   0.223692
3.265306   0.216074
3.346939   0.208710
3.428571   0.200868
3.510204   0.195929
3.591837   0.189141
3.673469   0.184334
3.755102   0.179381
3.836735   0.173904
3.918367   0.170074
4.000000   0.164978
