# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   1.000000
0.244898   1.000000
0.326531   1.000000
0.408163   0.999995
0.489796   0.999948
0.571429   0.999778
0.653061   0.999278
0.734694   0.998267
0.816327   0.996517
0.897959   0.993724
0.979592   0.989707
1.061224   0.983946
1.142857   0.976989
1.224490   0.967860
1.306122   0.956899
1.387755   0.943308
1.469388   0.928184
1.551020   0.910188
1.632653   0.889979
1.714286   0.866839
1.795918   0.841674
1.877551   0.811851
1.959184   0.780395
2.040816   0.745796
2.122449   0.701612
2.204082   0.660188
2.285714   0.613608
2.367347   0.560678
2.448980   0.499996
2.530612   0.444323
2.612245   0.386685
2.693878   0.328955
2.775510   0.277704
2.857143   0.233944
2.938776   0.210890
3.020408   0.184193
3.102041   0.157507
3.183673   0.146859
3.265306   0.131096
3.346939   0.116974
3.428571   0.107904
3.510204   0.101248
3.591837   0.089787
3.673469   0.087409
3.755102   0.080672
3.836735   0.075077
3.918367   0.073642
4.000000   0.069420
